"","rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","shape","name","trial_name","object","correct","phase","objSize","subid","block","size_bin","log_rt"
"1",10521.5800000587,"<div id='consent'><img src='img/cmu_logo.png' alt='Carnegie Mellon University'><p id='logo-text'><u>Online Consent Form</u></p><small><p class='block-text-wide'>This game is part of a research study conducted by Daniel Yurovsky at Carnegie Mellon University. </p><p class='block-text-wide'><b>Summary</b>  In this game, you be presented a series of inoffensive stimuli designed to measure how people learn and communicate. You will be asked to make responses via mouse and keyboard. There are no foreseeable risks to you in this study, and participation will take no more than 10 minutes. Being in this study is voluntary - it is your choice.</p><p class='block-text-wide'><b>Purpose</b> In this study, we are investigating the development of language and communication.  Our research explores how infants and young children learn new words so quickly from the language spoken around them, as well as how adults learn language.  We are also interested in how adults foster this rapid vocabulary growth.</p><p class='block-text-wide'><b>Procedures</b> We will present you with a variety of stimuli, including natural and artificial language samples, pictures of known or unknown objects, and/or movies of people talking. Sometimes some of the speech you will hear will be from a foreign or made-up language. You will be asked to make judgments about these stimuli using the mouse and keyboard. We expect that this study will take around 5 minutes and can completed online in your browser.</p><p class='block-text-wide'><b>Participant Requirements</b> Participation in this study is limited to individuals age 18 and older who are fluent speakers of English.</p><p class='block-text-wide'><b>Risks</b> The risks and discomfort associated with participation in this study are no greater than those ordinarily encountered in daily life or during other online activities. You may become bored with the game.<p class='block-text-wide'><b>Benefits</b> There may be no personal benefit from your participation in the study but the knowledge received may be of value to humanity.<p class='block-text-wide'><b>Compensation & Costs</b> You will be compensated at the rate at least $6/hour for your participation in this research. This duration is determined by the maximum time allotted for this study, not the amount of time you take to complete it.<br>There will be no cost to you if you participate in this study.</p><p class='block-text-wide'><b>Future Use of Information and/or Bio-Specimens</b> In the future, once we have removed all identifiable information from your data, we may use the data for our future research studies, or we may distribute the data to other investigators for their research studies.  We would do this without getting additional informed consent from you (or your legally authorized representative).  Sharing of data with other researchers will only be done in such a manner that you will not be identified.<p class='block-text-wide'><b>Confidentiality</b> The data captured for the research does not include any personally identifiable information about you beyond your Amazon Mechanical Turk id and IP address.<p class='block-text-wide'><b>Right to Ask Questions & Contact Information</b> If you have any questions about this study, you should feel free to ask them by contacting the Principal Investigator now at: Daniel Yurovsky, Psychology Department, 5000 Forbes Ave, Pittsburgh, PA 15213. Phone: (412) 268-6266 Email: yurovsky@cmu.edu. If you have questions later, desire additional information, or wish to withdraw your participation please contact the Principal Investigator by mail, phone or e-mail in accordance with the contact information listed above.<br>If you have questions pertaining to your rights as a research participant; or to report concerns to this study, you should contact the Office of Research integrity and Compliance at Carnegie Mellon University. Email: irb-review@andrew.cmu.edu. Phone: 412-268-1901 or 412-268-5460. </p><p class='block-text-wide'><b>Voluntary Participation</b> Your participation in this research is voluntary. You may discontinue participation at any time during the research activity. You may print a copy of this consent form for your records.</p><p class='block-text-wide'>I am age 18 or older.<input type='radio' name='age' value='eighteen' onclick=enable('start')> Yes<input type='radio' name='age' value='not_eighteen' onclick=disable('start')> No</p><p class='block-text-wide'>I have read and understand the information above.<input type='radio' name='understand' value='understood' onclick=enable('start')> Yes<input type='radio' name='understand' value='not_understood' onclick=disable('start')> No</p><p class='block-text-wide'>I want to participate in this research and continue with the game.<input type='radio' name='give_consent' value='consent' onclick=enable('start')> Yes<input type='radio' name='give_consent' value='not_consent' onclick=disable('start')> No </p></small></div>",0,"html-button-response",0,10537,"0.0-0.0",NA,NA,NA,NA,NA,NA,NA,NA,"aibq_dark_tgid",0,NA,9.26118366513395
"2",5697.69499998074,"Press the keyboard key of the letter that comes after the letter d in the alphabet.",NA,"html-keyboard-response",1,16236,"0.0-1.0","69",NA,NA,NA,NA,NA,NA,NA,"aibq_dark_tgid",0,NA,8.64781698606829
"3",7718.37999997661,"img/speaker.png",0,"image-button-response",2,23956,"0.0-2.0",NA,NA,NA,NA,NA,NA,NA,NA,"aibq_dark_tgid",0,NA,8.95135977643575
"4",8630.36999991164,"<b>Instructions</b><p>You will see images of two categories of alien fruits, named sprock and boti .</p> <p>They will come out in random order, one at a time.</p><p>For one category, press the ""F"" key, and for the other category, press the ""J"" key. </p><p>You won't know which key corresponds to which fruit at first, but make your best guesses and over time, you will learn.</p><p>Remember, you will use the ""F"" and ""J"" keys to categorize the fruits.</p><p>Press the space bar to begin.</p>",NA,"html-keyboard-response",3,32588,"0.0-3.0","32",NA,NA,NA,NA,NA,NA,NA,"aibq_dark_tgid",0,NA,9.06304265684459
"5",2475.05499992985,"<audio src='stimsounds/sprock.mp3', autoplay='true'></audio><div class='displayed'><div style='width: 700px;'><div style='float: center;'><div id='rectangle'></div><img src='stim-images/object18bluebig.jpg' width='283.26050991441355' height='283.26050991441355'></img></div></div></div>",NA,"html-keyboard-response",4,35066,"0.0-4.0-0.0","70",18,"sprock","trial","big",1,"training",283.260509914414,"aibq_dark_tgid",0,4,7.81401789694976
"6",NA,"<audio src='stimsounds/empty.wav', autoplay='true'></audio><div id='rectangle'></div>",NA,"html-keyboard-response",5,36319,"0.0-4.0-1.0","null",18,"sprock","feedback","big",0,"training",283.260509914414,"aibq_dark_tgid",0,4,NA
"7",712.924999999814,"<audio src='stimsounds/sprock.mp3', autoplay='true'></audio><div class='displayed'><div style='width: 700px;'><div style='float: center;'><div id='rectangle'></div><img src='stim-images/object18bluebig.jpg' width='343.1239071802108' height='343.1239071802108'></img></div></div></div>",NA,"html-keyboard-response",6,37034,"0.0-4.0-0.1","74",18,"sprock","trial","big",0,"training",343.123907180211,"aibq_dark_tgid",0,6,6.56937622554043
"8",NA,"<audio src='stimsounds/buzzer.wav', autoplay='true'></audio><div id='rectangle'></div>",NA,"html-keyboard-response",7,38286,"0.0-4.0-1.1","null",18,"sprock","feedback","big",0,"training",343.123907180211,"aibq_dark_tgid",0,6,NA
"9",717.745000030845,"<audio src='stimsounds/sprock.mp3', autoplay='true'></audio><div class='displayed'><div style='width: 700px;'><div style='float: center;'><div id='rectangle'></div><img src='stim-images/object18bluebig.jpg' width='303.27354779513274' height='303.27354779513274'></img></div></div></div>",NA,"html-keyboard-response",8,39006,"0.0-4.0-0.2","70",18,"sprock","trial","big",1,"training",303.273547795133,"aibq_dark_tgid",1,5,6.57611435280602
"10",NA,"<audio src='stimsounds/empty.wav', autoplay='true'></audio><div id='rectangle'></div>",NA,"html-keyboard-response",9,40258,"0.0-4.0-1.2","null",18,"sprock","feedback","big",0,"training",303.273547795133,"aibq_dark_tgid",1,5,NA
